--------
General Information:
Found 53092 rows in total across all CSV files.
Available models: Model, anthropic/claude-sonnet-4, deepseek/deepseek-chat-v3.1, google/gemini-2.5-pro, google/gemma-3-27b-it, meta-llama/llama-4-maverick, microsoft/phi-4, openai/gpt-5, openai/gpt-oss-120b, x-ai/grok-4-fast, human
Unique phrases evaluated: 7034
Unique dates evaluated: 251
Maximum number rows for a single model: 6892
--------
Average grade (global models only): -0.1826486598481851797437514051125617697834968566894531250000000000
Average grade (global models + human): -0.1823731615230009261985344437562162056565284729003906250000000000
 > Average grade for anthropic/claude-sonnet-4: -0.2572307692307692073008240640774602070450782775878906250000000000
 > Average grade for deepseek/deepseek-chat-v3.1: -0.4851293935882580177221257144992705434560775756835937500000000000
 > Average grade for google/gemini-2.5-pro: -0.2822689562029712662116764931852230802178382873535156250000000000
 > Average grade for google/gemma-3-27b-it: -0.1441514318071509537233509945508558303117752075195312500000000000
 > Average grade for meta-llama/llama-4-maverick: -0.0248291951341443085932159107187544577755033969879150390625000000
 > Average grade for microsoft/phi-4: -0.1157864190365641282598474504084151703864336013793945312500000000
 > Average grade for openai/gpt-5: -0.2145748987854250999784966325023560784757137298583984375000000000
 > Average grade for openai/gpt-oss-120b: -0.1160012574662055984120456741948146373033523559570312500000000000
 > Average grade for x-ai/grok-4-fast: -0.0415125359638306642984240113491978263482451438903808593750000000
 > Average grade for human: -0.0821917808219178036566177070199046283960342407226562500000000000
--------
Grade frequency (global models only): [-1]: 31394 [1]: 21697 
Grade frequency (global models + human): [-1]: 31473 [1]: 21764 
 > Grade frequency for anthropic/claude-sonnet-4: [-1]: 4086 [1]: 2414 
 > Grade frequency for deepseek/deepseek-chat-v3.1: [-1]: 3845 [1]: 1333 
 > Grade frequency for google/gemini-2.5-pro: [-1]: 3323 [1]: 1860 
 > Grade frequency for google/gemma-3-27b-it: [-1]: 3536 [1]: 2645 
 > Grade frequency for meta-llama/llama-4-maverick: [-1]: 3075 [1]: 2926 
 > Grade frequency for microsoft/phi-4: [-1]: 3845 [1]: 3047 
 > Grade frequency for openai/gpt-5: [-1]: 3600 [1]: 2328 
 > Grade frequency for openai/gpt-oss-120b: [-1]: 3550 [1]: 2812 
 > Grade frequency for x-ai/grok-4-fast: [-1]: 2534 [1]: 2332 
 > Grade frequency for human: [-1]: 79 [1]: 67 
--------
Standard Deviation (global models only): 0.9831875073543554499622132425429299473762512207031250000000000000
Standard Deviation (global models + human): 0.9832386228544853778998913185205310583114624023437500000000000000

 > Standard Deviation for anthropic/claude-sonnet-4: 0.9664243477786582658950464974623173475265502929687500000000000000
 > Standard Deviation for deepseek/deepseek-chat-v3.1: 0.8745268279167021097109113725309725850820541381835937500000000000
 > Standard Deviation for google/gemini-2.5-pro: 0.9594278693909605859602152122533880174160003662109375000000000000
 > Standard Deviation for google/gemma-3-27b-it: 0.9896356979238118967145965143572539091110229492187500000000000000
 > Standard Deviation for meta-llama/llama-4-maverick: 0.9997750121839924508648778100905474275350570678710937500000000000
 > Standard Deviation for microsoft/phi-4: 0.9933462017231674545669761755561921745538711547851562500000000000
 > Standard Deviation for openai/gpt-5: 0.9767899282783304437671745290572289377450942993164062500000000000
 > Standard Deviation for openai/gpt-oss-120b: 0.9933271368566852776993414408934768289327621459960937500000000000
 > Standard Deviation for x-ai/grok-4-fast: 0.9992406641953496260200040524068754166364669799804687500000000000
 > Standard Deviation for human: 1.0000472355400464863350862287916243076324462890625000000000000000
--------
95% Confidence Interval (global models only): (-0.1910118888706772155572366500564385205507278442382812500000000000, -0.1742854308256931439302661601686850190162658691406250000000000000)
95% Confidence Interval (global models + human): (-0.1907253489926676592869370097105274908244609832763671875000000000, -0.1740209740533341931101318778019049204885959625244140625000000000)
 > 95% Confidence Interval for anthropic/claude-sonnet-4: (-0.2807248942583214779133982119674328714609146118164062500000000000, -0.2337366442032169366882499161874875426292419433593750000000000000)
 > 95% Confidence Interval for deepseek/deepseek-chat-v3.1: (-0.5089493084497906938423739120480604469776153564453125000000000000, -0.4613094787267252860907262856926536187529563903808593750000000000)
 > 95% Confidence Interval for google/gemini-2.5-pro: (-0.3083887543419389087873128119099419564008712768554687500000000000, -0.2561491580640036236360401744605042040348052978515625000000000000)
 > 95% Confidence Interval for google/gemma-3-27b-it: (-0.1688228475598888556064025578962173312902450561523437500000000000, -0.1194800160544130379625116233910375740379095077514648437500000000)
 > 95% Confidence Interval for meta-llama/llama-4-maverick: (-0.0501244206515294651871350595229159807786345481872558593750000000, 0.0004660303832408480007032380854070652276277542114257812500000000)
 > 95% Confidence Interval for microsoft/phi-4: (-0.1392382141939794981677636087624705396592617034912109375000000000, -0.0923346238791487583519312920543598011136054992675781250000000000)
 > 95% Confidence Interval for openai/gpt-5: (-0.2394402825546035895598606657586060464382171630859375000000000000, -0.1897095150162466103971325992461061105132102966308593750000000000)
 > 95% Confidence Interval for openai/gpt-oss-120b: (-0.1404098961591412342286844250338617712259292602539062500000000000, -0.0915926187732699487176191155413107480853796005249023437500000000)
 > 95% Confidence Interval for x-ai/grok-4-fast: (-0.0695883358398000639866154415358323603868484497070312500000000000, -0.0134367360878612715491264850697916699573397636413574218750000000)
 > 95% Confidence Interval for human: (-0.2444072162990899854673187974185566417872905731201171875000000000, 0.0800236546552543781540833833787473849952220916748046875000000000)
--------
99% Confidence Interval (global models only): (-0.1936398058888002537969441618770360946655273437500000000000000000, -0.1716575138075701056905586483480874449014663696289062500000000000)
99% Confidence Interval (global models + human): (-0.1933497965034391696814708438978414051234722137451171875000000000, -0.1713965265425626827155980436145910061895847320556640625000000000)
 > 99% Confidence Interval for anthropic/claude-sonnet-4: (-0.2881072833833556723348578998411539942026138305664062500000000000, -0.2263542550781827422667902283137664198875427246093750000000000000)
 > 99% Confidence Interval for deepseek/deepseek-chat-v3.1: (-0.5164340681600075866342081098991911858320236206054687500000000000, -0.4538247190165084488100433190993499010801315307617187500000000000)
 > 99% Confidence Interval for google/gemini-2.5-pro: (-0.3165961897541140768197465149569325149059295654296875000000000000, -0.2479417226518284833591820870424271561205387115478515625000000000)
 > 99% Confidence Interval for google/gemma-3-27b-it: (-0.1765751682417025514304498301498824730515480041503906250000000000, -0.1117276953725993560162521589518291875720024108886718750000000000)
 > 99% Confidence Interval for meta-llama/llama-4-maverick: (-0.0580727565676717877307666526576213072985410690307617187500000000, 0.0084143662993831670748878792664982029236853122711181640625000000)
 > 99% Confidence Interval for microsoft/phi-4: (-0.1466073023098211358661302483596955426037311553955078125000000000, -0.0849655357633071206535646524571347981691360473632812500000000000)
 > 99% Confidence Interval for openai/gpt-5: (-0.2472535524044963683998332726332591846585273742675781250000000000, -0.1818962451663538315571599923714529722929000854492187500000000000)
 > 99% Confidence Interval for openai/gpt-oss-120b: (-0.1480796463044349309257086133584380149841308593750000000000000000, -0.0839228686279762658983827350311912596225738525390625000000000000)
 > 99% Confidence Interval for x-ai/grok-4-fast: (-0.0784103915425736486266572455861023627221584320068359375000000000, -0.0046146803850876869090846810195216676220297813415527343750000000)
 > 99% Confidence Interval for human: (-0.2953790003248826234738544371793977916240692138671875000000000000, 0.1309954386810469884050434075106750242412090301513671875000000000)
--------
Top 100 phrases with highest discordance (variance):
1. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [-1, -1, -1, -1, 1, 1, 1, 1] | Phrase: A soma da inflação acumulada até fevereiro mais o aumento esperado de preços administrados ao longo do ano atinge 2, 4%, o que representa 60% da meta estabelecida. | 21/03/2001
22. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, 1, 1, 1, -1, -1] | Phrase: Como consequência, a expansão da massa salarial real, considerando o rendimento médio real habitual da população ocupada nas seis regiões metropolitanas, atingiu 4, 3% em abril, ante o mesmo mês de 2010, e permanece como fator-chave para a sustentação do crescimento da demanda doméstica. | 08/06/2011
23. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [1, 1, -1, 1, -1, -1] | Phrase: Sob a ótica da demanda agregada, houve expansão de 5, 5% no consumo das famílias, de 2, 5% no consumo do governo, e de 5, 9% na Formação Bruta de Capital Fixo (FBCF), em relação ao segundo trimestre de 2010. | 19/10/2011
24. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, -1, 1, 1, -1, 1] | Phrase: a trajetória estimada para a taxa do pré-DI de 360 dias indica sobre a taxa Selic, no cenário de referência, de-22 pontos base (p.  ) e 82   para o quarto trimestre de 2012 e 2013, respectivamente. | 18/01/2012
25. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [1, -1, -1, 1, -1, 1] | Phrase: O resultado mensal do IPP/IT refletiu, principalmente, a elevação nos preços do segmento de alimentos, 1, 42%, com contribuição de 0, 27   para o índice, contrabalançada parcialmente pelas retrações em outros produtos químicos, 1, 18%, e coque, derivados do petróleo e biocombustíveis, 0, 93%, com contribuições respectivas de-0, 13   e-0, 10   Em doze meses, o IPP/IT variou 4, 07% em maio, ante 5, 54% em abril, destacando-se as contribuições dos itens alimentos, 0, 77; coque, derivados do petróleo e biocombustíveis, 0, 67; e outros produtos químicos, 0, 53. | 10/07/2013
26. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [1, -1, 1, -1, -1, 1] | Phrase: Os preços livres desaceleraram de 7, 97% para 7, 72%, reflexo da aceleração, de 6, 63% para 6, 70%, na variação dos preços dos produtos comercializáveis e da desaceleração, de 9, 19% para 8, 64%, na relativa aos bens não comercializáveis. | 28/08/2013
27. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, 1, -1, 1, -1, 1] | Phrase: Dessa forma, a inflação acumulada em doze meses recuou para 5, 86% em setembro (5, 28% até setembro de 2012), com os preços livres aumentando 7, 37% (5, 93% até setembro de 2012), e os preços administrados registrando a menor variação (1, 12%) da série histórica iniciada em 1994 (3, 44% até setembro de 2012). | 09/10/2013
28. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, -1, 1, -1, 1, 1] | Phrase: No cenário com taxa Selic constante em 6, 50%   e taxa de câmbio constante a R$3, 70/US$ 2, as projeções para a inflação do Copom situam-se em torno de 4, 4% para 2018, 4, 2% para 2019 e 4, 1% para 2020. | 31/10/2018
29. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, -1, 1, -1, 1, 1] | Phrase: No cenário com taxa Selic constante em 6, 50%   e taxa de câmbio constante a R$3, 95/US$ 2, as projeções para a inflação do Copom situam-se em torno de 4, 3% para 2019 e 4, 0% para 2020. | 08/05/2019
30. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, -1, -1, 1, 1, 1] | Phrase: Começando pelo hiato do produto, observou-se uma desaceleração da atividade, do crédito e, mais recentemente, do mercado de trabalho, conforme esperado pelo Comitê dadas as defasagens de política monetária. | 01/02/2023
31. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [1, -1, -1, 1, 1, -1] | Phrase: O Copom avaliou a alternativa de reduzir a taxa básica de juros para 13, 50%, mas considerou ser apropriado adotar ritmo de queda de 0, 50 ponto percentual nesta reunião em função da melhora do quadro inflacionário, reforçando, no entanto, o firme objetivo de manter uma política monetária contracionista para a reancoragem das expectativas e a convergência da inflação para a meta no horizonte relevante. | 02/08/2023
32. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, 1, -1, 1, -1, 1] | Phrase: Além disso, durante os primeiros quatro meses do ano, os preços estabelecidos utilizavam como parâmetro, provavelmente, uma taxa de câmbio mais depreciada do que a efetivamente observada. | 19/06/2002
33. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 6 | Grades: [-1, 1, 1, -1, -1, 1] | Phrase: a trajetória estimada para a taxa do pré-DI de 360 dias indica sobre a taxa Selic, no cenário de referência, de 20   no quarto trimestre de 2009 e de 61   no último trimestre de 2010. | 10/06/2009
34. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: Dessa forma, o cenário básico considerado contempla as seguintes hipóteses: trajetórias da taxa de e das cotações internacionais do petróleo implícitas nos respectivos contratos futuros; elevação média de 11, 2% dos preços administrados em 2000, com impacto direto de 2, 6 pontos percentuais na variação do IPCA, correspondente a uma contribuição marginal de 1, 8 ponto percentual na inflação anual; elevação do salário mínimo para R$ 150, 00; neutralidade do setor agrícola quanto a pressões sobre preços ao longo do ano, mas considerando a expansão sazonal esperada da oferta agrícola no primeiro semestre; e política fiscal cumprindo a meta de superávit primário acumulado do setor público consolidado de 3, 25% do PIB em 2000, contribuindo positivamente para a estabilidade de preços; perspectiva de crescimento da economia mundial, gerando condições de liquidez internacional que asseguram financiamento confortável do balanço de pagamentos. | 22/03/2000
35. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: As projeções do Banco Central que apontam para uma inflação em torno de 4% em 2002 incluem a contribuição para o IPCA do efeito primário do choque advindo dos preços administrados por contrato e monitorados e da inércia inflacionaria herdada de 2001, como descrito na Carta Aberta ao Ministro da Fazenda datada de 16 de janeiro. | 20/02/2002
36. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: Em resumo, a atividade econômica apresenta sinais de maior dinamismo, fato associado ao crescimento das vendas de bens de consumo com menor valor unitário, desde o início do segundo semestre-e atribuído, entre outros, às liberações extraordinárias do FGTS-à expansão das exportações e à substituição das importações, às vendas direcionadas ao setor agrícola e ao incremento recente das vendas de bens duráveis, em especial de automóveis. | 20/11/2002
37. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [1, -1, -1, 1] | Phrase: Como se sabe, a teoria econômica e as melhores práticas de condução de política monetária recomendam a acomodação parcial de aumentos da inflação ao consumidor provocados por choques de oferta. | 17/03/2004
38. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: O volume de vendas no varejo no país, usando dados do IBGE dessazonalizados pelo Banco Central, apresentou um crescimento de 2, 1% em janeiro em relação ao mês anterior, correspondendo a um valor 6, 1% maior do que do mesmo mês de 2003. | 14/04/2004
39. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: Na verdade, ao combater os efeitos de segunda ordem dos choques observados recentemente, agindo com a cautela recomendada nesse tipo de situação, a política monetária atua no sentido de preservar o crescimento sustentado no médio prazo, promovendo a necessária compatibilização do ritmo de expansão da demanda agregada com a ampliação da capacidade produtiva da economia. | 21/07/2004
40. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: Diante disso, o Comitê avaliou que a perspectiva de manutenção da taxa de juros básica por um período suficientemente longo de tempo no nível estabelecido em sua reunião de maio seria capaz de proporcionar condições adequadas para assegurar a convergência da inflação para a trajetória de metas. | 20/07/2005
41. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [1, -1, -1, 1] | Phrase: A desaceleração da inflação em janeiro foi determinada pelo comportamento dos preços dos bens monitorados e administrados por contrato, que variaram 0, 27% (0, 83% em dezembro), ao passo que os preços livres sofreram incremento de 0, 52% (0, 32 em dezembro). | 07/03/2007
42. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: Segundo dados dessazonalizados pelo Instituto Brasileiro de Geografia e Estatística (IBGE), no quarto trimestre a economia brasileira cresceu 1, 1% em relação ao trimestre anterior e 3, 8% ante o mesmo trimestre de 2005 (0, 6   acima dos 3, 2% observados no terceiro trimestre), e os dados do segundo e do terceiro trimestre foram revisados, indicando elevação de cerca de 0, 2   para o crescimento em cada um daqueles períodos. | 07/03/2007
43. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: O núcleo de inflação para o IPC-Br, calculado pela FGV pelo método das médias aparadas com suavização, variou 0, 27% em março, ante 0, 16% em fevereiro, acumulando 0, 69% no trimestre e 2, 52% em doze meses. | 18/04/2007
44. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: Considerando dados dessazonalizados pelo Banco Central, a taxa de desemprego deslocou-se de 8, 5% em janeiro para 8, 6% em fevereiro, permanecendo em patamar próximo ao menor nível da série histórica. | 16/04/2008
45. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [1, -1, 1, -1] | Phrase: Ao longo dos próximos meses, o crescimento do crédito, ainda que com alguma moderação, ocasionada pela elevação dos custos de captação, e a expansão da massa salarial real devem continuar impulsionando a atividade econômica. | 23/07/2008
46. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: Em resumo, os dados mais recentes sobre a atividade econômica corroboram a avaliação, expressa em Notas de reuniões anteriores do Comitê, de que as influências contracionistas da crise financeira internacional sobre o dinamismo da economia doméstica e, consequentemente, sobre o contexto no qual atua a política monetária, poderiam se mostrar persistentes, mas não seriam permanentes. | 17/03/2010
47. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: Com isso, a inflação acumulada nos sete primeiros meses de 2010 alcançou 3, 10%, o que reflete, em grande parte, o comportamento dos preços livres, que aumentaram 3, 55% até julho. | 01/09/2010
48. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [1, -1, 1, -1] | Phrase: O resultado refletiu exclusivamente o aumento de 3, 5% no Índice da Situação Atual (ISA), representando recorde histórico pelo sexto mês consecutivo, enquanto o Índice de Expectativas (IE) registrou recuo de 1, 1%. | 20/10/2010
49. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: A taxa de desemprego aberto recuou 0, 2   em relação a maio, atingindo 6, 2%, a menor taxa histórica para o mês, e 0, 8   menor que a taxa registrada no mesmo mês do ano anterior, resultado de quedas de 0, 2% na ocupação e de 0, 4% na População Economicamente Ativa (PEA), de acordo com os dados da PME do IBGE, realizada nas seis principais regiões metropolitanas do país. | 20/07/2011
50. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: Dito de outra forma, o processo de moderação em que se encontra a economia – uma decorrência das ações de política implementadas desde o final do ano passado – tende a ser potencializado pela fragilidade da economia global. | 31/08/2011
51. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: Por categorias de uso, houve retração nos segmentos de bens de consumo duráveis, 1, 3; de bens de consumo não duráveis, 0, 6; e de bens intermediários, 0, 4; estabilidade no indicador relativo à indústria de bens de capital; e elevação no referente a material de construção, 0, 3   Considerada a série observada, o Nuci recuou 1, 5   em relação a setembro de 2010, para 84, 4%, resultado de decréscimos nos indicadores das indústrias de bens de consumo, 2, 9; de bens intermediários, 1, 5; de material de construção, 1; e de bens de capital, 0, 4. | 19/10/2011
52. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [1, -1, -1, 1] | Phrase: O IPCA-15 registrou elevação de 0, 53% em fevereiro, ante 0, 65% em janeiro, acumulando alta de 1, 18% no ano e de 5, 98% em doze meses, ante 6, 44% em janeiro, de acordo com os dados divulgados pelo IBGE. | 07/03/2012
53. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: Considerada a série observada, o Nuci recuou 0, 8   em relação a fevereiro de 2011, resultado de queda nos indicadores das indústrias de material de construção, 2, 2; de bens intermediários, 1, 6; e de bens de capital e de consumo, ambas com variação de 1, 1. | 07/03/2012
54. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [1, 1, -1, -1] | Phrase: No período de doze meses encerrado em fevereiro, o comércio ampliado registrou crescimento de 5, 5%, com ênfase no aumento das vendas de equipamentos e material para escritório, informática e comunicação, 22, 1%; móveis e eletrodomésticos, 15, 5%; artigos farmacêuticos e médicos, 9, 3%; e material de construção, 8, 3%. | 18/04/2012
55. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: Além disso, o Comitê nota que a demanda doméstica continuará a ser impulsionada pelos efeitos defasados de ações de política monetária implementadas recentemente, bem como pela expansão moderada da oferta de crédito, tanto para pessoas físicas quanto para pessoas jurídicas. | 06/03/2013
56. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: A trajetória estimada para a taxa do pré-DI de 360 dias indica sobre a taxa Selic, no cenário de referência, de 26 pontos base (p.  ) e 7   para o quarto trimestre de 2014 e de 2015, respectivamente. | 28/05/2014
57. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: A trajetória estimada para a taxa do pré-DI de 360 dias indica sobre a taxa Selic, no cenário de referência, de-1 ponto base (p.  ) e de 14   para o quarto trimestre de 2015 e de 2016, respectivamente. | 29/04/2015
58. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: Relativamente ao resultado fiscal estrutural e a depender do ciclo econômico, o Comitê pondera que, no horizonte relevante para a política monetária, o balanço do setor público tende a se deslocar para a zona de neutralidade e não descarta a hipótese de migração para a zona de contenção, mesmo que mais lentamente e com menor intensidade. | 02/09/2015
59. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: A trajetória estimada para a taxa do pré-DI de 360 dias indica sobre a taxa Selic, no cenário de referência, de-27 pontos base (p.  ) e de 12   para o quarto trimestre de 2015 e de 2016, respectivamente. | 21/10/2015
60. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: Ao tempo em que reconhece que esses ajustes de preços relativos têm impactos diretos sobre a inflação, o Comitê reafirma sua visão de que a política monetária pode, deve e está contendo os efeitos de segunda ordem deles decorrentes. | 21/10/2015
61. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: A trajetória estimada para a taxa do pré-DI de 360 dias indica sobre a taxa Selic, no cenário de referência, de 49 pontos base (p.  ) e de 8   para o quarto trimestre de 2016 e de 2017, respectivamente. | 08/06/2016
62. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: Todos os membros do Comitê voltaram a enfatizar que a aprovação e implementação das reformas, notadamente as de natureza fiscal, e de ajustes na economia brasileira são fundamentais para a sustentabilidade do ambiente com inflação baixa e estável, para o funcionamento pleno da política monetária e para a redução da taxa de juros estrutural da economia, com amplos benefícios para a sociedade. | 12/12/2018
63. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: O Comitê segue avaliando que o cenário-base prospectivo envolve uma desaceleração da atividade, a qual é parte do processo de transmissão de política monetária e elemento necessário para a convergência da inflação à meta. | 29/01/2025
64. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: Esse movimento, função do recrudescimento da crise financeira, tendo em mente a difícil situação da Rússia, traduziu-se na queda do rendimento do título norte-americano de 30 anos, que foi negociado a 5, 7%a. | 02/09/1998
65. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: a hipótese para a inclinação da curva de juros doméstica é de 575 pontos no terceiro trimestre de 2001, declinando linearmente até 235 pontos no terceiro trimestre de 2002;. | 18/07/2001
66. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, 1, -1] | Phrase: Há algum efeito remanescente dos cortes de juros implementados em 2007 que ainda não se refletiu no nível de atividade, e tampouco os efeitos da atividade sobre a inflação tiveram tempo de se materializar por completo. | 05/03/2008
67. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: a trajetória estimada para a taxa do pré-DI de 360 dias indica sobre a taxa Selic, no cenário de referência, de 86   e de 25   para o quarto trimestre de 2010 e 2011, respectivamente. | 09/06/2010
68. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [1, 1, -1, -1] | Phrase: Note-se que, a despeito da elevação dos preços de alimentos, o segmento de hiper, supermercados, produtos alimentícios, bebidas e fumo mostra crescimento expressivo sob esse critério de comparação (5, 9%). | 10/09/2008
69. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: O resultado das operações com títulos federais do Tesouro Nacional exerceu impacto expansionista de R$ 3, 5 bilhões sobre a base monetária, enquanto a atuação do Banco Central produziu expansão de R$ 19, 9 bilhões. | 07/10/1998
70. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: As liquidações financeiras realizadas entre 18 de setembro e 22 de outubro acarretaram impacto monetário contracionista de R$2, 9 bilhões, em razão, principalmente, das colocações líquidas de R$7, 5 bilhões em LTN e de R$2, 1 bilhões em NTN-B e NTN-C, parcialmente compensadas por resgates líquidos de R$3, 3 bilhões em LFT e de R$2, 2 bilhões em títulos cambiais. | 22/10/2003
71. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: A inflação medida pela variação mensal do Índice Nacional de Preços ao Consumidor Amplo (IPCA), após registrar valores nulos em junho (0%) e julho (0, 01%), manteve-se próxima de zero em agosto (0, 04%), e se elevou em setembro para 0, 45%. | 20/10/2010
72. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [1, 1, -1, -1] | Phrase: a trajetória estimada para a taxa do pré-DI de 360 dias indica sobre a taxa Selic, no cenário de referência, de 82 pontos-base (p.  ) e 12   para o quarto trimestre de 2010 e 2011, respectivamente. | 08/12/2010
73. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, 1, -1, 1] | Phrase: Em suma, desde a última reunião, no âmbito externo, injeções extraordinárias de liquidez e seus reflexos de certa forma imediatos e generalizados sobre preços de ativos, em especial, apontam menor probabilidade de reversão do ainda lento processo de recuperação em que se encontram as economias do G3. | 08/12/2010
74. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [-1, -1, 1, 1] | Phrase: O Índice Geral de Preços – Disponibilidade Interna (IGP-DI) aumentou 0, 92% em abril, com variação acumulada em doze meses se posicionando em 3, 94% (8, 10% em abril de 2014). | 03/06/2015
75. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 4 | Grades: [1, -1, 1, -1] | Phrase: De acordo com a série dessazonalizada pelo Banco Central, a taxa atingiu o mínimo (4, 9%) da série histórica iniciada em 2002, o que reflete, em parte, a redução da População Economicamente Ativa (PEA) no período recente. | 26/02/2014
